x,y,timestamp,targetX,targetY
193.00,281.00,4447.099999904633,193.00,281.00
494.00,110.00,4478.700000047684,238.15,255.35
393.00,206.00,4512.099999904633,261.38,247.95
465.00,230.00,4545.399999856949,291.92,245.26
487.00,97.00,4579.099999904633,321.18,223.02
640.00,59.00,4612.299999952316,369.01,198.41
396.00,199.00,4646.700000047684,373.05,198.50
149.00,317.00,4679.200000047684,339.45,216.28
110.00,160.00,4714.099999904633,305.03,207.84
242.00,176.00,4746.200000047684,295.57,203.06
148.00,255.00,4779.399999856949,273.44,210.85
5.00,213.00,4812.700000047684,233.17,211.17
172.00,200.00,4845.799999952316,224.00,209.50
168.00,124.00,4872.299999952316,215.60,196.67
112.00,110.00,4902.899999856949,200.06,183.67
210.00,28.00,4948.700000047684,201.55,160.32
138.00,39.00,4978.5,192.02,142.12
69.00,69.00,5012.099999904633,173.56,131.15
104.00,51.00,5046.099999904633,163.13,119.13
88.00,41.00,5078.599999904633,151.86,107.41
1.00,41.00,5145.599999904633,129.23,97.45
117.00,37.00,5216,127.40,88.38
105.00,46.00,5248,124.04,82.03
169.00,55.00,5279.200000047684,130.78,77.97
54.00,24.00,5312.899999856949,119.26,69.88
159.00,33.00,5346,125.22,64.34
50.00,34.00,5379.5,113.94,59.79
159.00,32.00,5412.599999904633,120.70,55.62
108.00,47.00,5446.099999904633,118.79,54.33
26.00,24.00,5512.5,104.88,49.78
7.00,22.00,5546.899999856949,90.19,45.61
137.00,35.00,5579,97.22,44.02
15.00,31.00,5614.200000047684,84.88,42.07
71.00,39.00,5646.5,82.80,41.61
75.00,46.00,5678.599999904633,81.63,42.27
135.00,34.00,5712.599999904633,89.64,41.03
46.00,30.00,5746.399999856949,83.09,39.37
36.00,57.00,5779.5,76.03,42.02
60.00,52.00,5812.5,73.62,43.51
74.00,22.00,5879.299999952316,73.68,40.29
21.00,43.00,5912.399999856949,65.78,40.69
2.00,48.00,5945.599999904633,56.21,41.79
99.00,29.00,6012.200000047684,62.63,39.87
96.00,23.00,6047.099999904633,67.63,37.34
51.00,40.00,6078.799999952316,65.14,37.74
54.00,43.00,6166.399999856949,63.47,38.53
45.00,41.00,6213.799999952316,60.70,38.90
0.00,59.00,6263.599999904633,51.59,41.91
106.00,32.00,6298.200000047684,59.75,40.43
24.00,46.00,6329.399999856949,54.39,41.26
29.00,37.00,6363,50.58,40.62
33.00,50.00,6400.799999952316,47.95,42.03
34.00,55.00,6432.299999952316,45.85,43.98
7.00,55.00,6479.200000047684,40.03,45.63
20.00,51.00,6513.700000047684,37.02,46.43
27.00,48.00,6546.599999904633,35.52,46.67
67.00,38.00,6579.799999952316,40.24,45.37
64.00,42.00,6613,43.80,44.86
52.00,43.00,6650.099999904633,45.03,44.58
59.00,46.00,6678.399999856949,47.13,44.80
63.00,40.00,6716.299999952316,49.51,44.08
40.00,52.00,6750.099999904633,48.08,45.27
45.00,55.00,6778.599999904633,47.62,46.73
54.00,45.00,6812.599999904633,48.58,46.47
63.00,35.00,6845.799999952316,50.74,44.75
21.00,60.00,6878.799999952316,46.28,47.03
43.00,52.00,6946.200000047684,45.79,47.78
15.00,62.00,6978.700000047684,41.17,49.91
66.00,46.00,7045.599999904633,44.89,49.33
8.00,64.00,7078.099999904633,39.36,51.53
153.00,49.00,7111.399999856949,56.41,51.15
97.00,59.00,7145,62.50,52.33
237.00,15.00,7179,88.67,46.73
260.00,14.00,7211.599999904633,114.37,41.82
257.00,33.00,7245.299999952316,135.76,40.50
320.00,29.00,7278.299999952316,163.40,38.77
232.00,27.00,7311.799999952316,173.69,37.01
288.00,18.00,7344.799999952316,190.84,34.15
410.00,19.00,7378.899999856949,223.71,31.88
387.00,35.00,7411.700000047684,248.20,32.35
400.00,43.00,7445.599999904633,270.97,33.95
430.00,14.00,7478.5,294.83,30.95
451.00,35.00,7511.399999856949,318.25,31.56
278.00,28.00,7545.099999904633,312.22,31.03
410.00,26.00,7578.399999856949,326.88,30.27
486.00,32.00,7611.299999952316,350.75,30.53
200.00,50.00,7646.099999904633,328.14,33.45
319.00,22.00,7684,326.77,31.73
430.00,29.00,7715.599999904633,342.25,31.32
434.00,38.00,7744.599999904633,356.01,32.33
432.00,33.00,7778.099999904633,367.41,32.43
379.00,37.00,7811.5,369.15,33.11
478.00,44.00,7845.799999952316,385.48,34.75
509.00,21.00,7878.099999904633,404.01,32.68
507.00,24.00,7912.200000047684,419.46,31.38
363.00,52.00,7944.899999856949,410.99,34.47
582.00,25.00,7979.399999856949,436.64,33.05
430.00,30.00,8013.399999856949,435.64,32.60
341.00,47.00,8045.899999856949,421.45,34.76
447.00,43.00,8081.200000047684,425.28,35.99
506.00,38.00,8128.700000047684,437.39,36.29
416.00,57.00,8165.099999904633,434.18,39.40
369.00,57.00,8213.299999952316,424.40,42.04
331.00,60.00,8263.5,410.39,44.73
331.00,71.00,8296.399999856949,398.48,48.67
260.00,79.00,8332.5,377.71,53.22
382.00,55.00,8365.5,378.35,53.49
319.00,64.00,8411.899999856949,369.45,55.07
212.00,82.00,8463.399999856949,345.83,59.11
223.00,84.00,8495.700000047684,327.41,62.84
354.00,65.00,8529.700000047684,331.40,63.16
374.00,60.00,8562.899999856949,337.79,62.69
351.00,59.00,8614,339.77,62.14
375.00,54.00,8647.799999952316,345.05,60.92
359.00,52.00,8677.700000047684,347.15,59.58
412.00,48.00,8711.5,356.87,57.84
314.00,73.00,8745.599999904633,350.44,60.12
357.00,57.00,8778.599999904633,351.43,59.65
419.00,47.00,8811.700000047684,361.56,57.75
341.00,59.00,8845.099999904633,358.48,57.94
364.00,47.00,8878.599999904633,359.31,56.30
524.00,39.00,8914.899999856949,384.01,53.70
608.00,36.00,8949,417.61,51.05
681.00,30.00,8980,457.12,47.89
651.00,42.00,9010.899999856949,486.20,47.01
781.00,40.00,9044.399999856949,530.42,45.96
728.00,62.00,9077.799999952316,560.06,48.36
816.00,55.00,9111,598.45,49.36
865.00,51.00,9144.099999904633,638.43,49.60
764.00,52.00,9178.599999904633,657.27,49.96
821.00,48.00,9211.099999904633,681.83,49.67
785.00,40.00,9245.399999856949,697.30,48.22
823.00,45.00,9278.599999904633,716.16,47.74
825.00,37.00,9315.899999856949,732.48,46.13
918.00,40.00,9347.099999904633,760.31,45.21
784.00,55.00,9378.299999952316,763.86,46.68
784.00,42.00,9415.799999952316,766.88,45.97
877.00,40.00,9444.399999856949,783.40,45.08
755.00,60.00,9482.599999904633,779.14,47.32
941.00,52.00,9510.700000047684,803.42,48.02
758.00,78.00,9545.299999952316,796.61,52.52
877.00,62.00,9578.5,808.67,53.94
774.00,64.00,9611.799999952316,803.47,55.45
774.00,64.00,9646.799999952316,799.05,56.73
705.00,63.00,9678,784.94,57.67
683.00,52.00,9711.099999904633,769.65,56.82
722.00,53.00,9744.5,762.50,56.25
591.00,58.00,9778.5,736.78,56.51
756.00,62.00,9813,739.66,57.33
887.00,68.00,9846.700000047684,761.76,58.93
796.00,71.00,9880.799999952316,766.90,60.74
700.00,78.00,9911.299999952316,756.86,63.33
700.00,78.00,9944.5,748.33,65.53
1010.00,51.00,9978.599999904633,787.58,63.35
963.00,57.00,10231.599999904633,813.90,62.40
976.00,33.00,10293.799999952316,838.21,57.99
1010.00,31.00,10327.899999856949,863.98,53.94
993.00,34.00,10361.299999952316,883.33,50.95
973.00,43.00,10394.399999856949,896.78,49.76
877.00,37.00,10461.299999952316,893.82,47.84
917.00,24.00,10494.200000047684,897.29,44.27
900.00,51.00,10560.799999952316,897.70,45.28
910.00,37.00,10627.700000047684,899.54,44.04
993.00,31.00,10660.299999952316,913.56,42.08
905.00,47.00,10694.200000047684,912.28,42.82
944.00,45.00,10727.799999952316,917.04,43.15
959.00,40.00,10776.399999856949,923.33,42.67
1013.00,24.00,10802.200000047684,936.78,39.87
903.00,51.00,10834.099999904633,931.71,41.54
1006.00,33.00,10877.700000047684,942.86,40.26
743.00,33.00,10913.5,912.88,39.17
885.00,30.00,10961.299999952316,908.70,37.80
907.00,23.00,10994.099999904633,908.44,35.58
951.00,28.00,11029.599999904633,914.83,34.44
987.00,29.00,11061.899999856949,925.65,33.62
940.00,33.00,11094.399999856949,927.80,33.53
260.00,82.00,11128.099999904633,827.63,40.80
205.00,87.00,11160.700000047684,734.24,47.73
610.00,63.00,11194.700000047684,715.60,50.02
824.00,45.00,11228.299999952316,731.86,49.27
762.00,46.00,11261.899999856949,736.38,48.78
901.00,34.00,11311.5,761.08,46.56
868.00,37.00,11344,777.11,45.13
942.00,38.00,11377.700000047684,801.85,44.06
624.00,43.00,11411.299999952316,775.17,43.90
573.00,44.00,11444.099999904633,744.84,43.91
132.00,95.00,11478.799999952316,652.92,51.58
115.00,97.00,11510.700000047684,572.23,58.39
75.00,95.00,11544.899999856949,497.65,63.88
75.00,89.00,11579.899999856949,434.25,67.65
66.00,92.00,11610.599999904633,379.01,71.30
27.00,100.00,11644.799999952316,326.21,75.61
210.00,87.00,11677.5,308.78,77.32
24.00,104.00,11711.399999856949,266.06,81.32
30.00,102.00,11744.099999904633,230.65,84.42
136.00,95.00,11777.299999952316,216.45,86.01
18.00,98.00,11811,186.69,87.81
57.00,96.00,11877.599999904633,167.23,89.04
57.00,94.00,11910.399999856949,150.70,89.78
132.00,93.00,11944.700000047684,147.89,90.26
273.00,61.00,11977.599999904633,166.66,85.87
309.00,57.00,12010.799999952316,188.01,81.54
137.00,71.00,12051.599999904633,180.36,79.96
107.00,75.00,12080.399999856949,169.36,79.22
168.00,76.00,12143.399999856949,169.15,78.73
157.00,73.00,12177.799999952316,167.33,77.87
145.00,77.00,12211,163.98,77.74
122.00,78.00,12244,157.68,77.78
204.00,62.00,12277.700000047684,164.63,75.41
235.00,64.00,12310.700000047684,175.19,73.70
16.00,85.00,12344.200000047684,151.31,75.40
65.00,79.00,12377.5,138.36,75.94
175.00,71.00,12411.200000047684,143.86,75.20
59.00,80.00,12444.700000047684,131.13,75.92
127.00,74.00,12477.200000047684,130.51,75.63
153.00,71.00,12511.799999952316,133.88,74.94
127.00,75.00,12543.799999952316,132.85,74.94
172.00,75.00,12577.700000047684,138.72,74.95
214.00,69.00,12610.5,150.01,74.06
260.00,68.00,12643.799999952316,166.51,73.15
141.00,95.00,12677.299999952316,162.69,76.43
217.00,90.00,12710.399999856949,170.83,78.46
83.00,98.00,12743.899999856949,157.66,81.39
25.00,97.00,12777.299999952316,137.76,83.74
41.00,93.00,12810.700000047684,123.25,85.13
81.00,83.00,12844.599999904633,116.91,84.81
