x,y,error,timestamp,targetX,targetY
52.01,499.79,undefined,4183.099999904633,52.01,499.79
52.07,497.18,undefined,4236.299999952316,52.02,499.40
52.46,488.17,undefined,4282.599999904633,52.08,497.71
53.28,469.85,undefined,4332.599999904633,52.26,493.53
53.29,424.38,undefined,4380.5,52.42,483.16
52.84,359.25,undefined,4423.5,52.48,464.58
49.95,278.90,undefined,4486.599999904633,52.10,436.72
43.10,192.92,undefined,4524.799999952316,50.75,400.15
37.93,120.31,undefined,4572.5,48.83,358.18
36.35,60.44,undefined,4610.299999952316,46.96,313.52
35.31,14.94,undefined,4640.799999952316,45.21,268.73
65.18,0.78,undefined,5067.700000047684,48.20,228.54
66.07,8.73,undefined,5099.299999952316,50.88,195.57
66.65,15.77,undefined,5131.200000047684,53.25,168.60
66.97,21.86,undefined,5165.200000047684,55.31,146.59
67.09,27.26,undefined,5200,57.07,128.69
65.75,31.71,undefined,5232.400000095367,58.37,114.14
65.27,34.24,undefined,5266.400000095367,59.41,102.16
63.22,35.88,undefined,5297.900000095367,59.98,92.21
61.42,37.01,undefined,5321.700000047684,60.20,83.93
62.76,38.77,undefined,5356.700000047684,60.58,77.16
58.15,38.74,undefined,5387.099999904633,60.22,71.40
58.16,39.01,undefined,5415.5,59.91,66.54
58.24,39.05,undefined,5447.5,59.66,62.41
54.70,38.92,undefined,5482.299999952316,58.91,58.89
60.90,40.23,undefined,5532.099999904633,59.21,56.09
59.47,40.45,undefined,5565.299999952316,59.25,53.75
59.03,40.26,undefined,5599.599999904633,59.22,51.72
58.66,40.77,undefined,5631,59.13,50.08
58.10,41.11,undefined,5654.799999952316,58.98,48.73
57.90,41.32,undefined,5684.5,58.82,47.62
57.76,41.43,undefined,5715.299999952316,58.66,46.69
58.19,41.45,undefined,5748.299999952316,58.59,45.91
59.62,41.14,undefined,5786.700000047684,58.74,45.19
114.51,48.16,undefined,5819.200000047684,67.11,45.64
117.19,50.16,undefined,5853.5,74.62,46.32
154.11,54.86,undefined,5898.5,86.54,47.60
187.02,58.68,undefined,5931,101.61,49.26
211.55,61.72,undefined,5964.900000095367,118.11,51.13
213.96,63.53,undefined,6000.099999904633,132.48,52.99
214.16,64.80,undefined,6032.099999904633,144.74,54.76
259.56,65.63,undefined,6065,161.96,56.39
295.22,65.84,undefined,6098.299999952316,181.95,57.81
363.63,63.70,undefined,6130.900000095367,209.20,58.69
403.32,62.75,undefined,6165.400000095367,238.32,59.30
434.00,61.82,undefined,6200.700000047684,267.67,59.68
477.22,59.11,undefined,6231.099999904633,299.10,59.59
503.07,56.23,undefined,6265.700000047684,329.70,59.09
531.21,53.77,undefined,6304.700000047684,359.92,58.29
551.69,51.73,undefined,6336.799999952316,388.69,57.31
547.40,50.60,undefined,6372.099999904633,412.50,56.30
537.39,49.21,undefined,6408,431.23,55.24
526.21,48.14,undefined,6438.5,445.48,54.17
510.70,48.40,undefined,6471.599999904633,455.26,53.31
508.76,47.15,undefined,6504.799999952316,463.29,52.38
514.92,48.55,undefined,6535.900000095367,471.03,51.81
513.52,48.00,undefined,6573.299999952316,477.40,51.24
514.09,47.07,undefined,6608.299999952316,482.91,50.61
515.71,46.61,undefined,6647.299999952316,487.83,50.01
497.37,46.54,undefined,6682.700000047684,489.26,49.49
479.41,45.24,undefined,6732.200000047684,487.78,48.85
482.57,45.24,undefined,6769.5,487.00,48.31
480.47,44.52,undefined,6804.099999904633,486.02,47.74
480.61,44.50,undefined,6838.099999904633,485.21,47.26
463.32,43.49,undefined,6870.299999952316,481.93,46.69
467.29,44.00,undefined,6903.700000047684,479.73,46.29
453.78,43.70,undefined,6933.200000047684,475.84,45.90
446.73,43.50,undefined,6966.700000047684,471.47,45.54
441.70,43.37,undefined,7014.900000095367,467.00,45.21
437.92,43.30,undefined,7048.200000047684,462.64,44.93
440.97,43.27,undefined,7082.5,459.39,44.68
445.62,43.81,undefined,7131.900000095367,457.33,44.55
453.87,44.81,undefined,7166.5,456.81,44.59
466.88,44.63,undefined,7201.5,458.32,44.59
476.94,44.47,undefined,7233.400000095367,461.11,44.58
475.90,44.34,undefined,7268,463.33,44.54
473.66,44.23,undefined,7299.799999952316,464.88,44.49
482.75,44.13,undefined,7334.900000095367,467.56,44.44
488.74,44.06,undefined,7373.5,470.74,44.38
495.36,44.27,undefined,7410,474.43,44.37
510.57,44.45,undefined,7445.799999952316,479.85,44.38
499.01,44.86,undefined,7487.799999952316,482.72,44.45
464.23,44.43,undefined,7534.299999952316,479.95,44.45
483.29,43.53,undefined,7573.900000095367,480.45,44.31
537.49,43.81,undefined,7610.299999952316,489.01,44.24
577.75,44.33,undefined,7648.799999952316,502.32,44.25
532.50,44.26,undefined,7689.400000095367,506.85,44.25
606.64,43.93,undefined,7726.900000095367,521.81,44.20
678.32,44.96,undefined,7769.799999952316,545.29,44.32
773.43,44.79,undefined,7812.099999904633,579.51,44.39
834.62,44.90,undefined,7853.700000047684,617.78,44.46
892.73,44.72,undefined,7894.5,659.02,44.50
955.35,45.35,undefined,7947.700000047684,703.47,44.63
1009.71,45.35,undefined,7996.700000047684,749.41,44.74
1019.16,45.16,undefined,8095.400000095367,789.87,44.80
1004.67,44.17,undefined,8297.599999904633,822.09,44.71
933.20,43.52,undefined,8347.200000047684,838.75,44.53
918.19,43.23,undefined,8382.900000095367,850.67,44.33
925.37,43.28,undefined,8420.700000047684,861.87,44.18
932.81,43.60,undefined,8459.599999904633,872.51,44.09
920.68,43.37,undefined,8496.400000095367,879.74,43.98
932.86,43.45,undefined,8548.5,887.71,43.90
947.85,44.05,undefined,8583.700000047684,896.73,43.92
979.65,44.57,undefined,8627.599999904633,909.17,44.02
998.55,45.01,undefined,8660.700000047684,922.57,44.17
991.05,44.85,undefined,8696.400000095367,932.84,44.27
994.42,44.44,undefined,8737.599999904633,942.08,44.30
977.73,44.60,undefined,8772.5,947.43,44.34
963.15,44.48,undefined,8815.400000095367,949.79,44.36
916.45,45.41,undefined,8866,944.79,44.52
904.50,45.94,undefined,8902.099999904633,938.74,44.73
898.55,46.12,undefined,8939.099999904633,932.71,44.94
882.33,46.24,undefined,8975.799999952316,925.16,45.14
868.87,46.58,undefined,9008.599999904633,916.71,45.35
860.00,47.11,undefined,9038.400000095367,908.21,45.62
879.43,46.75,undefined,9072.200000047684,903.89,45.79
900.68,46.42,undefined,9110.5,903.41,45.88
918.79,46.38,undefined,9141.799999952316,905.72,45.96
931.95,47.12,undefined,9185.900000095367,909.65,46.13
917.55,59.78,undefined,9231.299999952316,910.84,48.18
898.11,71.31,undefined,9268.799999952316,908.93,51.65
893.53,68.84,undefined,9312.900000095367,906.62,54.23
784.42,103.77,undefined,9360.900000095367,888.29,61.66
728.86,119.57,undefined,9402.299999952316,864.37,70.34
683.73,132.16,undefined,9441.299999952316,837.28,79.62
426.92,175.91,undefined,9487.200000047684,775.72,94.06
295.96,234.04,undefined,9528.299999952316,703.76,115.06
154.69,294.14,undefined,9570.400000095367,621.40,141.92
119.92,316.42,undefined,9615.900000095367,546.18,168.10
92.32,342.55,undefined,9654,478.10,194.26
105.85,343.23,undefined,9699.799999952316,422.26,216.61
95.95,356.84,undefined,9744.799999952316,373.31,237.64
24.96,410.92,undefined,9788.400000095367,321.06,263.63
6.80,379.15,undefined,10178.099999904633,273.92,280.96
12.34,381.92,undefined,10227.700000047684,234.68,296.10
21.29,373.89,undefined,10282.099999904633,202.68,307.77
31.61,368.15,undefined,10318.599999904633,177.02,316.83
25.56,363.42,undefined,10355.799999952316,154.30,323.82
26.06,362.00,undefined,10412,135.06,329.54
57.85,334.89,undefined,10461.400000095367,123.48,330.35
56.78,341.42,undefined,10511,113.47,332.01
55.48,347.92,undefined,10560.799999952316,104.78,334.39
73.70,336.37,undefined,10612.200000047684,100.12,334.69
83.98,331.81,undefined,10651.799999952316,97.69,334.26
68.38,329.94,undefined,10698.099999904633,93.30,333.61
